Year,City,Population (in Lakhs) (2011)+,Number Of Cases,Type
2014,Ahmedabad,63.5,82,Murder
2015,Ahmedabad,63.5,94,Murder
2016,Ahmedabad,63.5,103,Murder
2017,Ahmedabad,63.5,90,Murder
2018,Ahmedabad,63.5,98,Murder
2019,Ahmedabad,63.5,81,Murder
2020,Ahmedabad,63.5,70,Murder
2021,Ahmedabad,63.5,97,Murder
2014,Bengaluru,85.0,241,Murder
2015,Bengaluru,85.0,235,Murder
2016,Bengaluru,85.0,229,Murder
2017,Bengaluru,85.0,235,Murder
2018,Bengaluru,85.0,218,Murder
2019,Bengaluru,85.0,204,Murder
2020,Bengaluru,85.0,179,Murder
2021,Bengaluru,85.0,155,Murder
2014,Chennai,87.0,161,Murder
2015,Chennai,87.0,149,Murder
2016,Chennai,87.0,133,Murder
2017,Chennai,87.0,154,Murder
2018,Chennai,87.0,172,Murder
2019,Chennai,87.0,172,Murder
2020,Chennai,87.0,150,Murder
2021,Chennai,87.0,161,Murder
2014,Coimbatore,21.5,21,Murder
2015,Coimbatore,21.5,25,Murder
2016,Coimbatore,21.5,27,Murder
2017,Coimbatore,21.5,21,Murder
2018,Coimbatore,21.5,31,Murder
2019,Coimbatore,21.5,39,Murder
2020,Coimbatore,21.5,31,Murder
2021,Coimbatore,21.5,30,Murder
2014,Delhi,163.1,472,Murder
2015,Delhi,163.1,480,Murder
2016,Delhi,163.1,479,Murder
2017,Delhi,163.1,400,Murder
2018,Delhi,163.1,416,Murder
2019,Delhi,163.1,505,Murder
2020,Delhi,163.1,461,Murder
2021,Delhi,163.1,454,Murder
2014,Ghaziabad,23.6,73,Murder
2015,Ghaziabad,23.6,65,Murder
2016,Ghaziabad,23.6,59,Murder
2017,Ghaziabad,23.6,52,Murder
2018,Ghaziabad,23.6,52,Murder
2019,Ghaziabad,23.6,48,Murder
2020,Ghaziabad,23.6,23,Murder
2021,Ghaziabad,23.6,25,Murder
2014,Hyderabad,77.5,118,Murder
2015,Hyderabad,77.5,95,Murder
2016,Hyderabad,77.5,86,Murder
2017,Hyderabad,77.5,64,Murder
2018,Hyderabad,77.5,81,Murder
2019,Hyderabad,77.5,86,Murder
2020,Hyderabad,77.5,71,Murder
2021,Hyderabad,77.5,98,Murder
2014,Indore,21.7,88,Murder
2015,Indore,21.7,61,Murder
2016,Indore,21.7,58,Murder
2017,Indore,21.7,64,Murder
2018,Indore,21.7,57,Murder
2019,Indore,21.7,57,Murder
2020,Indore,21.7,63,Murder
2021,Indore,21.7,54,Murder
2014,Jaipur,30.7,108,Murder
2015,Jaipur,30.7,90,Murder
2016,Jaipur,30.7,97,Murder
2017,Jaipur,30.7,90,Murder
2018,Jaipur,30.7,96,Murder
2019,Jaipur,30.7,93,Murder
2020,Jaipur,30.7,95,Murder
2021,Jaipur,30.7,118,Murder
2014,Kanpur,29.2,56,Murder
2015,Kanpur,29.2,59,Murder
2016,Kanpur,29.2,69,Murder
2017,Kanpur,29.2,51,Murder
2018,Kanpur,29.2,51,Murder
2019,Kanpur,29.2,53,Murder
2020,Kanpur,29.2,41,Murder
2021,Kanpur,29.2,48,Murder
2014,Kochi,21.2,13,Murder
2015,Kochi,21.2,12,Murder
2016,Kochi,21.2,10,Murder
2017,Kochi,21.2,11,Murder
2018,Kochi,21.2,12,Murder
2019,Kochi,21.2,22,Murder
2020,Kochi,21.2,9,Murder
2021,Kochi,21.2,10,Murder
2014,Kolkata,141.1,74,Murder
2015,Kolkata,141.1,65,Murder
2016,Kolkata,141.1,78,Murder
2017,Kolkata,141.1,64,Murder
2018,Kolkata,141.1,55,Murder
2019,Kolkata,141.1,50,Murder
2020,Kolkata,141.1,53,Murder
2021,Kolkata,141.1,45,Murder
2014,Kozhikode,20.3,8,Murder
2015,Kozhikode,20.3,4,Murder
2016,Kozhikode,20.3,3,Murder
2017,Kozhikode,20.3,7,Murder
2018,Kozhikode,20.3,8,Murder
2019,Kozhikode,20.3,7,Murder
2020,Kozhikode,20.3,5,Murder
2021,Kozhikode,20.3,5,Murder
2014,Lucknow,29.0,107,Murder
2015,Lucknow,29.0,99,Murder
2016,Lucknow,29.0,97,Murder
2017,Lucknow,29.0,79,Murder
2018,Lucknow,29.0,84,Murder
2019,Lucknow,29.0,75,Murder
2020,Lucknow,29.0,81,Murder
2021,Lucknow,29.0,101,Murder
